	NK_D_L	NK_D_H	NK_E_L	NK_E_H	NK_F_L	NK_F_H	NK_K_L	NK_K_H	NK_L_L	NK_L_H	NK_M_L	NK_M_H	NK_N_L	NK_N_H
ENSG00000224029	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224031	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224032	1805	1319	1275	1068	1380	1389	1526	2096	2204	3529	2796	2669	2173	1771
ENSG00000224033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224034	1	11	1	0	11	9	4	11	11	4	13	13	48	49
ENSG00000224035	0	0	0	0	0	0	0	6	15	0	0	0	0	0
ENSG00000224038	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224040	0	1	3	3	4	4	0	1	2	0	3	0	3	3
ENSG00000224041	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224042	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224043	137	154	74	77	135	59	171	76	49	125	72	103	95	106
ENSG00000224045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224046	42	47	75	44	27	74	89	92	169	275	120	169	182	134
ENSG00000224048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224049	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224051	818	645	1193	877	736	701	1853	1687	1188	1189	668	1164	1918	1508
ENSG00000224054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224055	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224057	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224058	4	1	4	1	4	0	2	1	0	2	6	1	2	5
ENSG00000224059	0	1	2	1	2	0	0	0	0	6	0	2	2	2
ENSG00000224060	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224061	2	1	0	4	0	1	1	0	2	0	2	4	0	4
ENSG00000224062	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224063	2	0	0	4	5	1	2	5	1	14	0	0	7	2
ENSG00000224064	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000224065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224066	7	25	12	8	5	6	2	8	10	1	13	5	26	24
ENSG00000224067	2	0	0	1	9	0	0	6	0	0	0	0	0	2
ENSG00000224069	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224070	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224071	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224072	0	0	9	6	28	0	4	0	0	0	0	0	1	0
ENSG00000224074	5	1	1	0	19	9	2	19	0	0	0	0	1	6
ENSG00000224075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224076	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224077	57	101	20	20	38	49	33	59	73	106	91	63	139	99
ENSG00000224078	2611	2422	2725	3020	2561	2452	2721	2962	2033	2056	2979	2871	3697	3019
ENSG00000224079	0	0	0	4	0	3	0	0	6	4	0	0	1	0
ENSG00000224080	290	254	189	299	159	201	151	132	151	68	68	106	161	130
ENSG00000224081	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000224082	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224083	3	1	4	0	3	36	0	36	0	0	15	26	57	26
ENSG00000224085	0	0	0	0	0	1	0	0	0	0	0	0	2	0
ENSG00000224086	674	680	860	847	742	638	1025	530	691	888	515	607	923	765
ENSG00000224087	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224089	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224090	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSG00000224091	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224093	0	0	9	0	26	0	5	15	0	10	2	0	36	0
ENSG00000224094	10	2	8	4	8	4	10	9	16	18	17	14	24	25
ENSG00000224095	2	0	0	3	0	1	0	1	0	0	0	0	7	0
ENSG00000224097	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224099	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224100	0	0	1	0	0	2	0	0	0	0	0	0	2	2
ENSG00000224101	8	6	7	11	7	6	11	4	0	18	3	5	7	2
ENSG00000224104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224106	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224109	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000224110	0	0	0	0	0	0	0	4	0	0	4	0	0	2
ENSG00000224114	77	55	328	186	69	52	81	48	1378	2435	56	41	73	74
ENSG00000224116	0	0	0	1	0	4	0	0	0	0	0	0	0	0
ENSG00000224117	12	1	5	1	8	6	4	7	3	4	8	1	10	10
ENSG00000224121	0	1	29	28	3	11	8	15	24	17	1	13	24	14
ENSG00000224122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224124	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000224126	6	5	15	5	1	15	19	9	7	25	16	14	19	15
ENSG00000224127	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000224128	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000224129	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224132	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224138	43	33	21	49	45	42	39	18	32	28	20	28	14	9
ENSG00000224141	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000224142	1	0	4	0	2	0	0	0	0	9	4	0	3	2
ENSG00000224144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224151	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224152	67	12	26	3	52	16	21	18	57	32	5	13	21	34
ENSG00000224153	1	0	0	1	0	0	0	0	1	2	1	0	0	0
ENSG00000224155	2	0	0	1	1	2	0	2	0	0	0	2	4	0
ENSG00000224157	81	93	99	75	102	133	73	125	199	612	269	189	311	340
ENSG00000224159	6	3	4	3	1	5	9	2	5	2	5	6	8	2
ENSG00000224160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224161	1	0	0	0	0	0	0	4	0	0	2	0	2	0
ENSG00000224162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224164	16	31	4	14	56	67	27	30	24	79	162	43	111	77
ENSG00000224165	149	199	227	200	213	355	285	338	481	1004	611	482	748	735
ENSG00000224166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224172	0	6	0	0	0	0	2	0	3	0	0	0	4	5
ENSG00000224173	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000224174	0	0	0	0	0	0	4	1	0	0	1	2	0	0
ENSG00000224177	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000224183	29	36	44	45	20	26	1	7	15	12	33	15	38	36
ENSG00000224184	51	0	23	39	44	22	50	0	21	18	29	25	29	8
ENSG00000224185	0	0	3	16	25	31	33	3	11	4	0	5	19	9
ENSG00000224186	88	36	70	48	84	19	35	45	104	45	119	112	119	49
ENSG00000224187	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000224188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224189	0	0	0	0	9	0	0	0	0	0	0	0	12	1
ENSG00000224190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224194	0	0	1	0	0	0	1	0	0	0	0	1	0	1
ENSG00000224195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224203	0	0	0	0	0	1	0	1	0	1	1	0	3	1
ENSG00000224204	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224205	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000224207	14	25	27	24	10	13	11	6	6	7	9	13	11	10
ENSG00000224208	6	1	0	5	1	5	10	15	14	15	17	6	10	15
ENSG00000224209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224215	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224216	1	1	0	2	2	4	7	5	2	2	0	0	0	4
ENSG00000224217	1	1	1	0	0	0	0	0	2	0	0	0	2	0
ENSG00000224218	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224219	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224220	20	23	45	13	29	27	27	12	4	4	17	12	17	24
ENSG00000224221	0	0	0	3	1	0	4	0	0	0	0	0	0	4
ENSG00000224222	0	0	0	5	0	14	0	0	0	0	0	3	0	4
ENSG00000224223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224224	1	3	2	1	1	0	2	0	0	2	0	6	4	0
ENSG00000224227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224228	20	26	24	4	6	19	15	2	2	0	0	4	16	15
ENSG00000224231	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224232	3	6	5	5	11	8	2	7	0	0	0	3	2	0
ENSG00000224233	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224236	1	4	0	0	0	2	4	4	0	0	0	0	2	0
ENSG00000224237	18	18	12	18	22	29	20	46	4	5	4	4	53	42
ENSG00000224238	4	45	2	0	5	5	2	9	0	2	1	5	15	0
ENSG00000224239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224243	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224245	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000224250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224251	0	0	0	4	0	0	4	7	6	0	3	3	6	9
ENSG00000224252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224255	0	1	0	0	0	2	5	0	0	2	0	0	1	0
ENSG00000224256	4	0	8	0	3	4	2	0	7	7	15	9	5	0
ENSG00000224257	1	0	1	0	0	0	3	0	0	0	0	0	0	0
ENSG00000224259	1	1	3	3	1	1	10	11	0	4	3	5	2	5
ENSG00000224260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224261	6	9	19	6	18	35	3	23	2	13	11	34	34	22
ENSG00000224263	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000224265	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000224267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224271	2	1	2	2	0	1	0	1	0	1	2	0	2	2
ENSG00000224272	0	0	0	0	0	0	0	6	0	0	19	7	0	0
ENSG00000224273	38	28	0	0	7	4	59	30	5	14	2	2	6	12
ENSG00000224274	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224276	0	0	0	0	2	0	4	0	0	0	7	0	0	4
ENSG00000224277	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224278	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224279	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224280	5	1	2	0	1	0	2	0	0	6	0	0	6	2
ENSG00000224281	162	175	255	149	146	112	298	218	197	321	232	164	267	259
ENSG00000224282	6	1	4	0	2	7	0	3	2	3	4	5	1	2
ENSG00000224286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224287	5	0	2	1	6	19	5	8	0	1	2	10	2	4
ENSG00000224288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224289	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224291	0	0	0	0	0	1	0	1	0	0	0	0	0	2
ENSG00000224292	18	19	20	18	40	27	26	62	79	61	51	42	103	57
ENSG00000224294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224295	3	1	1	7	4	0	25	18	0	0	4	0	0	0
ENSG00000224296	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000224297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224301	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000224302	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000224307	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224308	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224309	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000224310	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000224311	0	4	2	0	11	2	10	4	0	14	0	2	2	11
ENSG00000224312	0	0	3	11	0	0	0	1	2	0	0	0	0	0
ENSG00000224314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224315	1	5	14	1	3	2	2	6	4	3	16	2	6	4
ENSG00000224316	4	3	5	0	2	0	3	2	0	0	0	3	7	0
ENSG00000224318	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000224321	11	6	14	9	9	7	3	5	9	23	6	17	14	6
ENSG00000224322	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224323	28	12	31	7	14	13	57	30	0	10	0	10	21	17
ENSG00000224324	0	2	1	0	0	0	0	0	0	0	0	5	8	0
ENSG00000224326	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224328	0	0	0	0	1	2	0	0	0	4	0	2	3	0
ENSG00000224329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224331	0	3	4	1	0	0	2	0	0	1	1	1	1	2
ENSG00000224333	0	1	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000224334	9	5	5	3	7	8	21	9	0	6	0	12	18	12
ENSG00000224335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224336	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224337	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224340	0	1	6	1	1	0	2	12	0	10	0	1	12	2
ENSG00000224341	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000224342	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000224344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224346	26	9	0	6	0	23	3	3	0	7	1	0	27	19
ENSG00000224347	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224349	1	0	4	2	4	3	0	7	0	4	4	1	1	2
ENSG00000224351	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224353	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224354	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224356	71	42	49	27	73	22	69	41	5	76	55	125	94	46
ENSG00000224357	0	4	0	0	0	0	0	0	0	0	0	0	6	4
ENSG00000224358	24	35	27	43	23	43	31	83	101	182	173	70	130	122
ENSG00000224359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224363	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ENSG00000224365	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224366	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224367	0	0	0	0	1	0	0	0	0	0	2	1	0	0
ENSG00000224368	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224370	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224371	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000224372	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000224373	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224375	0	0	2	0	0	0	0	0	0	4	0	0	10	0
ENSG00000224376	3454	3209	3697	3509	3474	3828	3986	4326	6486	9821	6815	7245	9793	8518
ENSG00000224382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224383	230	316	309	243	289	331	664	594	360	380	251	347	742	549
ENSG00000224384	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224387	10	4	15	8	9	3	2	8	3	5	9	14	3	9
ENSG00000224388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224389	3	4	2	0	0	0	6	0	0	0	0	0	2	2
ENSG00000224391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224394	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000224396	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224397	2	1	89	21	153	133	0	0	26	0	8	2	0	0
ENSG00000224400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224401	1	3	10	0	0	1	1	2	0	0	0	0	2	1
ENSG00000224402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224403	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224404	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224405	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224406	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000224407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224408	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224409	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000224410	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224411	66	60	63	55	56	54	88	74	116	134	167	148	175	102
ENSG00000224412	0	0	2	0	6	1	0	0	10	0	0	0	0	1
ENSG00000224413	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224414	0	0	0	1	0	0	4	0	0	0	6	0	1	9
ENSG00000224415	27	23	17	25	35	36	20	57	51	51	54	30	48	27
ENSG00000224416	12	0	0	0	0	19	0	5	0	0	0	0	0	3
ENSG00000224417	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224418	26	37	22	27	17	15	33	36	41	134	100	126	112	75
ENSG00000224419	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224420	57	27	90	39	75	32	57	65	24	24	39	29	53	48
ENSG00000224421	4	1	0	0	0	6	2	9	5	0	5	6	0	1
ENSG00000224424	139	100	42	84	86	110	58	207	103	176	73	162	180	162
ENSG00000224425	0	0	0	0	0	0	1	2	2	4	0	0	0	0
ENSG00000224426	0	0	0	4	0	0	0	1	0	0	2	0	0	8
ENSG00000224427	0	1	2	0	1	0	0	1	1	1	0	1	0	0
ENSG00000224429	420	274	402	294	455	286	530	625	396	404	498	845	930	637
ENSG00000224430	1	0	0	0	1	0	0	2	0	2	0	0	2	9
ENSG00000224431	0	0	0	0	1	0	2	0	0	0	0	0	0	0
ENSG00000224435	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224437	0	0	0	0	0	0	2	2	2	0	2	2	0	0
ENSG00000224438	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224439	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ENSG00000224440	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224442	296	127	180	169	258	254	334	137	258	213	204	260	458	207
ENSG00000224443	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224445	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224447	0	0	0	0	0	6	0	0	0	0	0	1	4	0
ENSG00000224448	1	1	2	6	2	0	5	1	3	1	0	1	1	0
ENSG00000224451	60	38	101	10	26	36	58	29	5	42	45	70	69	55
ENSG00000224452	4	0	7	0	0	0	6	2	0	0	0	8	0	2
ENSG00000224458	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224459	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224462	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000224463	0	7	14	1	3	1	4	1	0	0	0	1	32	1
ENSG00000224464	48	19	5	0	20	9	9	0	0	17	33	11	10	33
ENSG00000224465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224466	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000224467	0	1	0	0	1	6	7	0	6	15	14	8	8	8
ENSG00000224468	0	0	2	0	0	0	0	0	0	0	0	0	0	1
ENSG00000224469	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000224470	2006	1827	2569	1653	1797	1926	2753	1817	1636	1659	2251	2173	2983	2718
ENSG00000224471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224473	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000224475	1	0	0	0	0	0	0	0	0	0	11	2	6	2
ENSG00000224476	0	0	0	0	0	1	0	0	0	1	1	1	0	0
ENSG00000224477	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224478	79	78	97	81	80	83	44	55	108	63	91	32	71	69
ENSG00000224479	0	0	10	9	0	0	9	0	0	0	0	0	38	13
ENSG00000224481	2	1	1	0	9	1	0	0	1	4	0	0	16	9
ENSG00000224482	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000224484	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224488	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224490	5	10	14	20	15	3	6	20	19	48	55	64	103	23
ENSG00000224493	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224494	1	0	0	2	1	0	0	0	0	0	0	4	0	0
ENSG00000224497	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224504	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224505	214	211	193	254	293	270	248	320	308	437	302	393	653	451
ENSG00000224506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224509	21	16	22	16	22	41	28	40	29	30	50	22	54	51
ENSG00000224510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224511	0	0	0	0	1	0	4	22	0	0	0	0	0	4
ENSG00000224513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224514	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000224515	5	4	6	0	0	3	13	3	0	0	0	10	6	7
ENSG00000224516	0	2	2	2	0	0	0	0	4	0	6	0	0	2
ENSG00000224517	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224518	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000224519	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000224520	1	0	2	0	0	0	0	0	0	0	0	1	0	0
ENSG00000224521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224523	0	3	0	0	0	9	2	12	5	0	0	0	11	10
ENSG00000224524	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224529	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224530	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000224531	1330	1131	1119	926	700	776	2029	1993	1614	2050	1682	2010	1772	1460
ENSG00000224532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224533	18	22	40	14	17	20	6	10	21	10	0	19	23	11
ENSG00000224535	0	0	0	0	5	0	0	0	0	0	0	0	0	2
ENSG00000224536	0	27	6	2	21	2	11	14	0	17	0	0	19	17
ENSG00000224537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224539	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224541	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224543	9	10	21	6	0	19	12	14	10	23	32	18	28	21
ENSG00000224545	20	0	0	2	11	2	0	3	10	0	6	0	5	14
ENSG00000224546	33	33	24	42	17	15	80	16	15	18	15	26	42	25
ENSG00000224547	0	0	0	0	0	0	14	0	0	0	11	0	0	0
ENSG00000224548	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224550	25	14	12	7	18	20	26	32	33	64	49	37	54	39
ENSG00000224551	0	0	0	0	0	0	0	0	0	0	0	0	8	0
ENSG00000224553	7	1	5	3	3	2	1	2	5	5	5	3	5	3
ENSG00000224555	2	1	1	3	6	7	0	4	0	0	0	0	1	2
ENSG00000224556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224557	19	16	7	1	1	13	3	2	0	3	17	31	7	1
ENSG00000224559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224560	0	1	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000224563	35	22	5	41	16	19	23	22	22	89	28	41	86	54
ENSG00000224565	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224566	1	0	0	1	1	1	0	0	2	2	0	0	8	6
ENSG00000224567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224568	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224569	0	5	0	0	0	1	0	4	0	2	0	2	4	2
ENSG00000224570	14	0	7	3	0	0	0	2	0	0	0	2	0	0
ENSG00000224571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224573	1	1	0	3	0	0	0	0	0	0	0	2	1	0
ENSG00000224574	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224577	0	0	0	0	0	0	0	1	0	0	5	0	0	0
ENSG00000224578	365	251	231	201	320	225	338	358	375	428	473	442	503	456
ENSG00000224579	20	15	22	24	26	22	0	0	18	11	12	4	19	14
